"['3450', '370', '3:0:0', '1', '0.60', '236', '0.00', '0.13', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '371', '3:0:0', '1', '0.60', '236', '0.00', '0.10', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '372', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '373', '3:0:0', '1', '0.60', '236', '0.00', '0.11', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '374', '3:0:0', '1', '0.60', '236', '0.00', '0.13', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '375', '3:0:0', '1', '0.60', '236', '0.00', '0.08', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '498', '3:0:0', '1', '0.60', '236', '0.00', '0.10', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '499', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '500', '3:0:0', '1', '0.60', '236', '0.00', '0.28', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '501', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '502', '3:0:0', '1', '0.60', '236', '0.00', '0.07', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '503', '3:0:0', '1', '0.60', '236', '0.00', '0.05', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '504', '3:0:0', '1', '0.60', '236', '0.00', '0.34', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '505', '3:0:0', '1', '0.60', '236', '0.00', '0.39', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '506', '3:0:0', '1', '0.60', '236', '0.00', '0.13', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '507', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '568', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '569', '3:0:0', '1', '0.60', '236', '0.00', '0.29', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '570', '3:0:0', '1', '0.60', '236', '0.00', '0.34', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '571', '3:0:0', '1', '0.60', '236', '0.00', '0.05', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '572', '3:0:0', '1', '0.60', '236', '0.00', '0.26', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '573', '3:0:0', '1', '0.60', '236', '0.00', '0.53', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '574', '3:0:0', '1', '0.60', '236', '0.00', '0.15', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1073', '3:0:0', '1', '0.60', '236', '0.00', '0.38', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1074', '3:0:0', '1', '0.60', '236', '0.00', '0.12', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1075', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1076', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1077', '3:0:0', '1', '0.60', '236', '0.00', '0.11', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1078', '3:0:0', '1', '0.60', '236', '0.00', '0.12', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1079', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1080', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1081', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1082', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1083', '3:0:0', '1', '0.60', '236', '0.00', '0.33', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1084', '3:0:0', '1', '0.60', '236', '0.00', '0.12', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1085', '3:0:0', '1', '0.60', '236', '0.00', '0.27', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1086', '3:0:0', '1', '0.60', '236', '0.00', '0.19', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1087', '3:0:0', '1', '0.60', '236', '0.00', '0.10', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1088', '3:0:0', '1', '0.60', '236', '0.00', '0.10', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1089', '3:0:0', '1', '0.60', '236', '0.00', '0.05', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1321', '3:0:0', '1', '0.60', '236', '0.00', '0.30', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1322', '3:0:0', '1', '0.60', '236', '0.00', '0.07', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1323', '3:0:0', '1', '0.60', '236', '0.00', '0.11', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1324', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1325', '3:0:0', '1', '0.60', '236', '0.00', '0.25', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1326', '3:0:0', '1', '0.60', '236', '0.00', '0.21', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1327', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1328', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1329', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1330', '3:0:0', '1', '0.60', '236', '0.00', '0.24', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1331', '3:0:0', '1', '0.60', '236', '0.00', '0.36', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1332', '3:0:0', '1', '0.60', '236', '0.00', '0.58', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1333', '3:0:0', '1', '0.60', '236', '0.00', '0.29', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1334', '3:0:0', '1', '0.60', '236', '0.00', '0.26', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1335', '3:0:0', '1', '0.60', '236', '0.00', '0.28', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1336', '3:0:0', '1', '0.60', '236', '0.00', '0.15', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1337', '3:0:0', '1', '0.60', '236', '0.00', '0.39', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1338', '3:0:0', '1', '0.60', '236', '0.00', '0.07', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1339', '3:0:0', '1', '0.60', '236', '0.00', '0.10', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1340', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1341', '3:0:0', '1', '0.60', '236', '0.00', '0.29', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1342', '3:0:0', '1', '0.60', '236', '0.00', '0.25', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1343', '3:0:0', '1', '0.60', '236', '0.00', '0.10', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1344', '3:0:0', '1', '0.60', '236', '0.00', '0.23', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1345', '3:0:0', '1', '0.60', '236', '0.00', '0.11', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1346', '3:0:0', '1', '0.60', '236', '0.00', '0.35', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1347', '3:0:0', '1', '0.60', '236', '0.00', '0.27', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1624', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1625', '3:0:0', '1', '0.60', '236', '0.00', '0.08', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1626', '3:0:0', '1', '0.60', '236', '0.00', '0.39', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1627', '3:0:0', '1', '0.60', '236', '0.00', '0.21', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1628', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1629', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
